Record Length,2500,Points,response time,response voltage,,Record Length,2500,Points,signal time,signal voltage,
,,,-18.0999978E-6,-1.6000000E-3,,,,,-18.0999978E-6,199.99998808E-3,
,,,-17.9999988E-6,-1.6000000E-3,,,,,-17.9999988E-6,159.99999642E-3,
,,,-17.8999981E-6,-1.6000000E-3,,,,,-17.8999981E-6,159.99999642E-3,
,,,-17.7999973E-6,-1.6000000E-3,,,,,-17.7999973E-6,199.99998808E-3,
,,,-17.6999984E-6,-1.6000000E-3,,,,,-17.6999984E-6,199.99998808E-3,
,,,-17.5999976E-6,-1.6000000E-3,,,,,-17.5999976E-6,159.99999642E-3,
,,,-17.4999986E-6,-1.6000000E-3,,,,,-17.4999986E-6,199.99998808E-3,
,,,-17.3999979E-6,-1.6000000E-3,,,,,-17.3999979E-6,199.99998808E-3,
,,,-17.2999989E-6,-1.6000000E-3,,,,,-17.2999989E-6,199.99998808E-3,
,,,-17.1999982E-6,-1.6000000E-3,,,,,-17.1999982E-6,199.99998808E-3,
,,,-17.0999974E-6,-1.6000000E-3,,,,,-17.0999974E-6,199.99998808E-3,
,,,-16.9999985E-6,-1.6000000E-3,,,,,-16.9999985E-6,199.99998808E-3,
,,,-16.8999977E-6,-1.6000000E-3,,,,,-16.8999977E-6,159.99999642E-3,
,,,-16.7999988E-6,-1.6000000E-3,,,,,-16.7999988E-6,199.99998808E-3,
,,,-16.6999980E-6,-1.6000000E-3,,,,,-16.6999980E-6,199.99998808E-3,
,,,-16.5999973E-6,-1.6000000E-3,,,,,-16.5999973E-6,159.99999642E-3,
,,,-16.4999983E-6,-1.6000000E-3,,,,,-16.4999983E-6,199.99998808E-3,
,,,-16.3999975E-6,-1.6000000E-3,,,,,-16.3999975E-6,199.99998808E-3,
,,,-16.2999986E-6,-1.6000000E-3,,,,,-16.2999986E-6,199.99998808E-3,
,,,-16.1999978E-6,-1.6000000E-3,,,,,-16.1999978E-6,199.99998808E-3,
,,,-16.0999989E-6,-1.6000000E-3,,,,,-16.0999989E-6,199.99998808E-3,
,,,-15.9999981E-6,-799.999979790E-6,,,,,-15.9999981E-6,199.99998808E-3,
,,,-15.8999974E-6,-1.6000000E-3,,,,,-15.8999974E-6,199.99998808E-3,
,,,-15.7999984E-6,-1.6000000E-3,,,,,-15.7999984E-6,199.99998808E-3,
,,,-15.6999977E-6,-1.6000000E-3,,,,,-15.6999977E-6,199.99998808E-3,
,,,-15.5999987E-6,-1.6000000E-3,,,,,-15.5999987E-6,159.99999642E-3,
,,,-15.4999980E-6,-1.6000000E-3,,,,,-15.4999980E-6,199.99998808E-3,
,,,-15.3999972E-6,-1.6000000E-3,,,,,-15.3999972E-6,199.99998808E-3,
,,,-15.2999983E-6,-1.6000000E-3,,,,,-15.2999983E-6,199.99998808E-3,
,,,-15.1999984E-6,-1.6000000E-3,,,,,-15.1999984E-6,199.99998808E-3,
,,,-15.0999977E-6,-1.6000000E-3,,,,,-15.0999977E-6,199.99998808E-3,
,,,-14.9999978E-6,-1.6000000E-3,,,,,-14.9999978E-6,199.99998808E-3,
,,,-14.8999980E-6,-1.6000000E-3,,,,,-14.8999980E-6,199.99998808E-3,
,,,-14.7999981E-6,-1.6000000E-3,,,,,-14.7999981E-6,199.99998808E-3,
,,,-14.6999982E-6,-1.6000000E-3,,,,,-14.6999982E-6,199.99998808E-3,
,,,-14.5999984E-6,-1.6000000E-3,,,,,-14.5999984E-6,199.99998808E-3,
,,,-14.4999976E-6,-1.6000000E-3,,,,,-14.4999976E-6,199.99998808E-3,
,,,-14.3999978E-6,-1.6000000E-3,,,,,-14.3999978E-6,199.99998808E-3,
,,,-14.2999979E-6,-1.6000000E-3,,,,,-14.2999979E-6,199.99998808E-3,
