,,,243.99997756E-9,33.59999880E-3,,,,,243.99997756E-9,5.03999996,
,,,247.99999210E-9,41.60000011E-3,,,,,247.99999210E-9,5.03999996,
,,,251.99997822E-9,45.59999704E-3,,,,,251.99997822E-9,5.03999996,
,,,255.99999276E-9,41.60000011E-3,,,,,255.99999276E-9,5.03999996,
,,,259.99997888E-9,43.19999740E-3,,,,,259.99997888E-9,5.03999996,
,,,263.99999342E-9,41.60000011E-3,,,,,263.99999342E-9,5.07999992,
,,,267.99997954E-9,49.59999770E-3,,,,,267.99997954E-9,5.07999992,
,,,271.99999408E-9,52.79999971E-3,,,,,271.99999408E-9,5.07999992,
,,,275.99998020E-9,49.59999770E-3,,,,,275.99998020E-9,5.07999992,
,,,279.99999475E-9,49.59999770E-3,,,,,279.99999475E-9,5.07999992,
,,,283.99998087E-9,52.79999971E-3,,,,,283.99998087E-9,5.07999992,
,,,287.99999541E-9,57.599999011E-3,,,,,287.99999541E-9,5.07999992,
,,,291.99998153E-9,59.200000018E-3,,,,,291.99998153E-9,5.07999992,
,,,295.99999607E-9,58.399997652E-3,,,,,295.99999607E-9,5.07999992,
,,,299.99998219E-9,56.800000370E-3,,,,,299.99998219E-9,5.07999992,
,,,303.99999673E-9,60.799997300E-3,,,,,303.99999673E-9,5.07999992,
,,,307.99998285E-9,65.600000322E-3,,,,,307.99998285E-9,5.07999992,
,,,311.99999739E-9,65.600000322E-3,,,,,311.99999739E-9,5.07999992,
,,,315.99998351E-9,65.600000322E-3,,,,,315.99998351E-9,5.07999992,
,,,319.99999806E-9,63.999995589E-3,,,,,319.99999806E-9,5.07999992,
,,,323.99998418E-9,67.999996245E-3,,,,,323.99998418E-9,5.07999992,
,,,327.99999872E-9,75.199998915E-3,,,,,327.99999872E-9,5.07999992,
,,,331.99998484E-9,73.600001633E-3,,,,,331.99998484E-9,5.07999992,
,,,335.99999938E-9,70.399999619E-3,,,,,335.99999938E-9,5.07999992,
,,,339.99998550E-9,71.199998260E-3,,,,,339.99998550E-9,5.07999992,
,,,344.00000004E-9,76.799996197E-3,,,,,344.00000004E-9,5.07999992,
,,,347.99998616E-9,79.999998212E-3,,,,,347.99998616E-9,5.07999992,
,,,351.99997228E-9,79.199999571E-3,,,,,351.99997228E-9,5.07999992,
,,,355.99998682E-9,76.799996197E-3,,,,,355.99998682E-9,5.07999992,
,,,359.99997294E-9,77.599994838E-3,,,,,359.99997294E-9,5.07999992,
,,,363.99998748E-9,83.999998868E-3,,,,,363.99998748E-9,5.07999992,
,,,367.99997361E-9,85.599996150E-3,,,,,367.99997361E-9,5.07999992,
,,,371.99998815E-9,84.799997509E-3,,,,,371.99998815E-9,5.07999992,
,,,375.99997427E-9,83.999998868E-3,,,,,375.99997427E-9,5.07999992,
,,,379.99998881E-9,85.599996150E-3,,,,,379.99998881E-9,5.07999992,
,,,383.99997493E-9,89.599996805E-3,,,,,383.99997493E-9,5.07999992,
,,,387.99998947E-9,92.799998820E-3,,,,,387.99998947E-9,5.07999992,
,,,391.99997559E-9,90.399995446E-3,,,,,391.99997559E-9,5.07999992,
,,,395.99999013E-9,89.599996805E-3,,,,,395.99999013E-9,5.07999992,
,,,399.99997625E-9,94.399996102E-3,,,,,399.99997625E-9,5.07999992,
,,,403.999990795E-9,96.799999475E-3,,,,,403.999990795E-9,5.07999992,
